,date,location,location_name,value
462,2020-05-23,GM03,Free Hanseatic City of Bremen,120.0
463,2020-05-23,GM04,Free Hanseatic City of Hamburg,570.0
464,2020-05-23,GM05,Hesse State,1663.0
465,2020-05-23,GM06,Lower Saxony State,1600.0
466,2020-05-23,GM07,North Rhine-Westphalia State,4628.0
467,2020-05-23,GM08,Rhineland-Palatinate State,777.0
468,2020-05-23,GM09,Saarland State,355.0
469,2020-05-23,GM10,Schleswig-Holstein State,589.0
470,2020-05-23,GM11,Brandenburg State,584.0
471,2020-05-23,GM12,Mecklenburg-Western Pomerania State,573.0
472,2020-05-23,GM13,Free State of Saxony,1105.0
473,2020-05-23,GM14,Sachsen-Anhalt State,664.0
474,2020-05-23,GM15,Free State of Thüringia,572.0
475,2020-05-23,GM16,Berlin State,1071.0
476,2020-05-24,GM,Germany,19512.0
477,2020-05-24,GM01,Baden-Württemberg State,2094.0
478,2020-05-24,GM02,Free State of Bavaria,2966.0
479,2020-05-24,GM03,Free Hanseatic City of Bremen,118.0
480,2020-05-24,GM04,Free Hanseatic City of Hamburg,543.0
481,2020-05-24,GM05,Hesse State,1618.0
482,2020-05-24,GM06,Lower Saxony State,1525.0
483,2020-05-24,GM07,North Rhine-Westphalia State,4505.0
484,2020-05-24,GM08,Rhineland-Palatinate State,732.0
485,2020-05-24,GM09,Saarland State,346.0
486,2020-05-24,GM10,Schleswig-Holstein State,575.0
487,2020-05-24,GM11,Brandenburg State,573.0
488,2020-05-24,GM12,Mecklenburg-Western Pomerania State,552.0
489,2020-05-24,GM13,Free State of Saxony,1076.0
490,2020-05-24,GM14,Sachsen-Anhalt State,662.0
491,2020-05-24,GM15,Free State of Thüringia,554.0
492,2020-05-24,GM16,Berlin State,1073.0
493,2020-05-25,GM,Germany,19394.0
494,2020-05-25,GM01,Baden-Württemberg State,2105.0
495,2020-05-25,GM02,Free State of Bavaria,2918.0
496,2020-05-25,GM03,Free Hanseatic City of Bremen,125.0
497,2020-05-25,GM04,Free Hanseatic City of Hamburg,566.0
498,2020-05-25,GM05,Hesse State,1642.0
499,2020-05-25,GM06,Lower Saxony State,1537.0
