"target","location","model","inverse_wis_weight"
"cum case","PL73","KIT-time_series_baseline",0.371198563950294
"cum case","PL74","USC-SIkJalpha",0.150140226151869
"cum case","PL74","ITWW-county_repro",0.126291147504722
"cum case","PL74","epiforecasts-EpiNow2",0.225679814730805
"cum case","PL74","KIT-time_series_baseline",0.497888811612604
"cum case","PL75","USC-SIkJalpha",0.230626277621837
"cum case","PL75","ITWW-county_repro",0.0657300887702798
"cum case","PL75","epiforecasts-EpiNow2",0.413089451555399
"cum case","PL75","KIT-time_series_baseline",0.290554182052484
"cum case","PL76","USC-SIkJalpha",0.208549274032201
"cum case","PL76","ITWW-county_repro",0.105604123571885
"cum case","PL76","epiforecasts-EpiNow2",0.180450777104707
"cum case","PL76","KIT-time_series_baseline",0.505395825291207
"cum case","PL77","USC-SIkJalpha",0.347076318853868
"cum case","PL77","ITWW-county_repro",0.112477557590774
"cum case","PL77","epiforecasts-EpiNow2",0.150548227074122
"cum case","PL77","KIT-time_series_baseline",0.389897896481236
"cum case","PL78","USC-SIkJalpha",0.110409795526606
"cum case","PL78","ITWW-county_repro",0.0799547827328611
"cum case","PL78","epiforecasts-EpiNow2",0.142938877107421
"cum case","PL78","KIT-time_series_baseline",0.666696544633111
"cum case","PL79","USC-SIkJalpha",0.316931339569139
"cum case","PL79","ITWW-county_repro",0.103444844133557
"cum case","PL79","epiforecasts-EpiNow2",0.210710926515192
"cum case","PL79","KIT-time_series_baseline",0.368912889782112
"cum case","PL80","USC-SIkJalpha",0.230542675542661
"cum case","PL80","ITWW-county_repro",0.0555608911162779
"cum case","PL80","epiforecasts-EpiNow2",0.0879211450423083
"cum case","PL80","KIT-time_series_baseline",0.625975288298753
"cum case","PL81","USC-SIkJalpha",0.241826221161677
"cum case","PL81","ITWW-county_repro",0.0942361874338191
"cum case","PL81","epiforecasts-EpiNow2",0.385470815311004
"cum case","PL81","KIT-time_series_baseline",0.2784667760935
"cum case","PL82","USC-SIkJalpha",0.144413821277854
"cum case","PL82","ITWW-county_repro",0.151507980792827
"cum case","PL82","epiforecasts-EpiNow2",0.212292249619679
"cum case","PL82","KIT-time_series_baseline",0.49178594830964
"cum case","PL83","USC-SIkJalpha",0.184222391938912
"cum case","PL83","ITWW-county_repro",0.203000642455881
"cum case","PL83","epiforecasts-EpiNow2",0.330347824743227
"cum case","PL83","KIT-time_series_baseline",0.282429140861979
"cum case","PL84","USC-SIkJalpha",0.324777175716345
"cum case","PL84","ITWW-county_repro",0.353810182202107
"cum case","PL84","epiforecasts-EpiNow2",0.0656192946899142
"cum case","PL84","KIT-time_series_baseline",0.255793347391634
"cum case","PL85","USC-SIkJalpha",0.140588155498292
"cum case","PL85","ITWW-county_repro",0.214175411961991
"cum case","PL85","epiforecasts-EpiNow2",0.381514589248615
"cum case","PL85","KIT-time_series_baseline",0.263721843291102
"cum case","PL86","USC-SIkJalpha",0.163524510095833
"cum case","PL86","ITWW-county_repro",0.132622729336807
"cum case","PL86","epiforecasts-EpiNow2",0.171091353286532
"cum case","PL86","KIT-time_series_baseline",0.532761407280828
"cum case","PL87","USC-SIkJalpha",0.233004764721254
"cum case","PL87","ITWW-county_repro",0.297599604866357
