target,target_end_date,location,type,target_type,quantile,value,location_name,forecast_date
4 wk ahead cum case,2021-03-06,GM,quantile,,0.55,2485443.44741271,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.6,2489695.69060732,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.65,2494193.93871005,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.7,2499051.01313467,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.75,2504430.61848049,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.8,2510594.93311556,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.85,2518019.50636209,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.9,2527742.56046205,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.95,2542978.72051456,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.975,2557043.4504141,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,quantile,,0.99,2574462.37033122,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,point,,,2337033.32,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,point,,,2391623.18571429,Germany,2021-02-08
3 wk ahead cum case,2021-02-27,GM,point,,,2439085.68571429,Germany,2021-02-08
4 wk ahead cum case,2021-03-06,GM,point,,,2481352.09428571,Germany,2021-02-08
