gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,bundesland
09773,2,3,3,2,8.0,16.0,09
09774,4,2,1,4,21.0,46.0,09
09775,2,3,1,2,9.0,10.0,09
09776,2,1,1,2,11.0,8.0,09
09777,2,5,4,2,9.0,9.0,09
09778,2,2,2,2,9.0,8.0,09
09779,3,4,3,3,19.0,21.0,09
09780,1,3,2,1,21.0,15.0,09
10041,7,19,10,7,154.0,117.0,10
10042,2,2,0,2,19.0,7.0,10
10043,3,4,1,3,24.0,19.0,10
10044,4,4,2,3,30.0,39.0,10
10045,10,19,14,2,98.0,122.0,10
10046,1,1,0,1,10.0,8.0,10
11000,57,139,116,42,484.0,998.0,11
12051,3,3,1,3,30.0,49.0,12
12052,2,0,0,2,52.0,49.0,12
12053,1,0,0,1,6.0,9.0,12
12054,4,9,7,4,38.0,35.0,12
12060,2,14,5,2,42.0,70.0,12
12061,5,0,0,5,26.0,46.0,12
12062,3,0,0,3,24.0,19.0,12
12063,2,3,2,2,14.0,11.0,12
12064,3,5,2,3,30.0,15.0,12
12065,5,1,1,5,40.0,19.0,12
12066,1,2,1,1,14.0,26.0,12
12067,4,3,3,4,44.0,70.0,12
12068,3,5,1,3,21.0,37.0,12
12069,3,1,0,3,43.0,57.0,12
12070,2,0,0,2,19.0,6.0,12
12071,3,0,0,3,18.0,5.0,12
12072,2,0,0,2,12.0,10.0,12
12073,4,2,2,4,17.0,24.0,12
13003,2,0,0,2,50.0,69.0,13
13004,1,0,0,1,16.0,48.0,13
13071,4,4,3,4,16.0,51.0,13
13072,5,0,0,4,26.0,36.0,13
13073,4,0,0,4,29.0,37.0,13
13074,2,0,0,2,15.0,9.0,13
13075,5,3,1,5,70.0,128.0,13
13076,6,0,0,6,36.0,115.0,13
14511,3,6,1,3,31.0,140.0,14
14521,6,11,9,6,45.0,47.0,14
14522,5,4,4,5,31.0,39.0,14
14523,3,4,3,3,28.0,44.0,14
14524,5,12,9,5,40.0,80.0,14
14612,7,6,6,6,59.0,110.0,14
14625,6,0,0,5,31.0,33.0,14
14626,5,1,1,5,22.0,37.0,14
14627,5,5,4,5,51.0,43.0,14
14628,5,17,9,5,57.0,52.0,14
14713,8,6,2,7,192.0,222.0,14
14729,3,0,0,3,24.0,32.0,14
14730,7,0,0,7,34.0,35.0,14
15001,1,0,0,1,3.0,3.0,15
15002,6,8,6,5,103.0,214.0,15
15003,7,3,2,5,71.0,184.0,15
15081,2,1,0,2,13.0,9.0,15
15082,3,0,0,3,30.0,32.0,15
15083,2,5,1,2,22.0,17.0,15
15084,3,1,1,3,32.0,27.0,15
15085,4,3,3,4,32.0,26.0,15
15086,2,1,1,2,16.0,12.0,15
15087,3,1,0,3,24.0,13.0,15
15088,2,1,1,2,10.0,17.0,15
15089,4,0,0,4,24.0,51.0,15
15090,2,0,0,2,20.0,28.0,15
15091,2,2,2,2,43.0,20.0,15
16051,2,4,3,2,36.0,60.0,16
16052,1,6,5,1,12.0,34.0,16
16053,1,5,3,1,29.0,81.0,16
16054,1,1,1,1,25.0,9.0,16
16055,1,0,0,1,5.0,11.0,16
16056,1,2,2,1,20.0,22.0,16
16061,3,3,3,3,12.0,18.0,16
16062,3,9,9,3,43.0,19.0,16
16063,3,1,1,3,17.0,70.0,16
16064,3,9,3,3,77.0,27.0,16
16065,1,0,0,1,3.0,6.0,16
16066,2,3,2,2,17.0,31.0,16
16067,2,0,0,2,34.0,16.0,16
16068,1,0,0,1,8.0,6.0,16
16069,1,0,0,1,7.0,1.0,16
16070,2,0,0,2,9.0,7.0,16
16071,3,7,5,3,49.0,77.0,16
16072,1,0,0,1,2.0,6.0,16
16073,1,1,1,1,12.0,13.0,16
16074,1,0,0,1,12.0,4.0,16
16075,1,0,0,1,4.0,2.0,16
16076,1,7,7,1,6.0,11.0,16
16077,2,1,1,1,25.0,33.0,16
