"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-02-06,2021-02-11,"GM","Germany",64304.3103600933,"quantile",0.025,"5 day ahead cum death"
2021-02-06,2021-02-12,"GM","Germany",64747.8195715599,"quantile",0.025,"6 day ahead cum death"
2021-02-06,2021-02-13,"GM","Germany",65168.3546468429,"quantile",0.025,"7 day ahead cum death"
2021-02-06,2021-02-14,"GM","Germany",65568.3799844866,"quantile",0.025,"8 day ahead cum death"
2021-02-06,2021-02-15,"GM","Germany",65943.1321305956,"quantile",0.025,"9 day ahead cum death"
2021-02-06,2021-02-16,"GM","Germany",66298.8354352376,"quantile",0.025,"10 day ahead cum death"
2021-02-06,2021-02-17,"GM","Germany",66637.1908850052,"quantile",0.025,"11 day ahead cum death"
2021-02-06,2021-02-18,"GM","Germany",66958.8240950756,"quantile",0.025,"12 day ahead cum death"
2021-02-06,2021-02-19,"GM","Germany",67264.535905365,"quantile",0.025,"13 day ahead cum death"
2021-02-06,2021-02-20,"GM","Germany",67555.3379747297,"quantile",0.025,"14 day ahead cum death"
2021-02-06,2021-02-21,"GM","Germany",67831.6154965048,"quantile",0.025,"15 day ahead cum death"
2021-02-06,2021-02-22,"GM","Germany",68094.3615929458,"quantile",0.025,"16 day ahead cum death"
2021-02-06,2021-02-23,"GM","Germany",68344.2934110532,"quantile",0.025,"17 day ahead cum death"
2021-02-06,2021-02-24,"GM","Germany",68582.0359105559,"quantile",0.025,"18 day ahead cum death"
2021-02-06,2021-02-25,"GM","Germany",68808.1835715372,"quantile",0.025,"19 day ahead cum death"
2021-02-06,2021-02-26,"GM","Germany",69023.3018809447,"quantile",0.025,"20 day ahead cum death"
2021-02-06,2021-02-27,"GM","Germany",69227.9287466019,"quantile",0.025,"21 day ahead cum death"
2021-02-06,2021-02-28,"GM","Germany",69422.3965881056,"quantile",0.025,"22 day ahead cum death"
2021-02-06,2021-03-01,"GM","Germany",69607.3786666681,"quantile",0.025,"23 day ahead cum death"
2021-02-06,2021-03-02,"GM","Germany",69781.928693249,"quantile",0.025,"24 day ahead cum death"
2021-02-06,2021-03-03,"GM","Germany",69947.7612405344,"quantile",0.025,"25 day ahead cum death"
2021-02-06,2021-03-04,"GM","Germany",70105.5060390522,"quantile",0.025,"26 day ahead cum death"
2021-02-06,2021-03-05,"GM","Germany",70255.5575329643,"quantile",0.025,"27 day ahead cum death"
2021-02-06,2021-03-06,"GM","Germany",70398.2909291638,"quantile",0.025,"28 day ahead cum death"
2021-02-06,2021-03-07,"GM","Germany",70534.0631354877,"quantile",0.025,"29 day ahead cum death"
2021-02-06,2021-03-08,"GM","Germany",70663.2136531723,"quantile",0.025,"30 day ahead cum death"
2021-02-06,2021-03-09,"GM","Germany",70786.0654257834,"quantile",0.025,"31 day ahead cum death"
2021-02-06,2021-03-10,"GM","Germany",70902.9256467432,"quantile",0.025,"32 day ahead cum death"
2021-02-06,2021-03-11,"GM","Germany",71014.0865274738,"quantile",0.025,"33 day ahead cum death"
2021-02-06,2021-03-12,"GM","Germany",71119.8260280781,"quantile",0.025,"34 day ahead cum death"
