"location_name" "location" "date" "value"
"476" "Malopolskie" "PL77" "28.04" 11
"477" "Malopolskie" "PL77" "29.04" 24
"478" "Malopolskie" "PL77" "30.04" 21
"479" "Malopolskie" "PL77" "01.05" 16
"480" "Malopolskie" "PL77" "02.05" 21
"481" "Malopolskie" "PL77" "03.05" 10
"482" "Malopolskie" "PL77" "04.05" 32
"483" "Malopolskie" "PL77" "05.05" 21
"484" "Malopolskie" "PL77" "06.05" 12
"485" "Malopolskie" "PL77" "07.05" 10
"486" "Malopolskie" "PL77" "08.05" 14
"487" "Malopolskie" "PL77" "09.05" 10
"488" "Malopolskie" "PL77" "10.05" 4
"489" "Malopolskie" "PL77" "11.05" 24
"490" "Malopolskie" "PL77" "12.05" 3
"491" "Malopolskie" "PL77" "13.05" 10
"492" "Malopolskie" "PL77" "14.05" 24
"493" "Malopolskie" "PL77" "15.05" 9
"494" "Malopolskie" "PL77" "16.05" 7
"495" "Malopolskie" "PL77" "17.05" 4
"496" "Malopolskie" "PL77" "18.05" 5
"497" "Malopolskie" "PL77" "19.05" 15
"498" "Malopolskie" "PL77" "20.05" 2
"499" "Malopolskie" "PL77" "21.05" 15
"500" "Malopolskie" "PL77" "22.05" 2
"501" "Malopolskie" "PL77" "23.05" 4
"502" "Malopolskie" "PL77" "24.05" 5
"503" "Malopolskie" "PL77" "25.05" 0
"504" "Malopolskie" "PL77" "26.05" 3
"505" "Malopolskie" "PL77" "27.05" 2
"506" "Malopolskie" "PL77" "28.05" 9
"507" "Malopolskie" "PL77" "29.05" 8
"508" "Malopolskie" "PL77" "30.05" 16
"509" "Malopolskie" "PL77" "31.05" 10
"510" "Malopolskie" "PL77" "01.06" 7
"511" "Malopolskie" "PL77" "02.06" 10
"512" "Malopolskie" "PL77" "03.06" 16
"513" "Malopolskie" "PL77" "04.06" 21
"514" "Malopolskie" "PL77" "05.06" 27
"515" "Malopolskie" "PL77" "06.06" 22
"516" "Malopolskie" "PL77" "07.06" 32
"517" "Malopolskie" "PL77" "08.06" 30
"518" "Malopolskie" "PL77" "09.06" 43
"519" "Malopolskie" "PL77" "10.06" 20
"520" "Malopolskie" "PL77" "11.06" 9
"521" "Malopolskie" "PL77" "12.06" 13
"522" "Malopolskie" "PL77" "13.06" 18
"523" "Malopolskie" "PL77" "14.06" 16
"524" "Malopolskie" "PL77" "15.06" 9
"525" "Malopolskie" "PL77" "16.06" 12
"526" "Malopolskie" "PL77" "17.06" 23
"527" "Malopolskie" "PL77" "18.06" 12
"528" "Malopolskie" "PL77" "19.06" 13
"529" "Malopolskie" "PL77" "20.06" 23
"530" "Malopolskie" "PL77" "21.06" 16
"531" "Malopolskie" "PL77" "22.06" 6
"532" "Malopolskie" "PL77" "23.06" 2
"533" "Malopolskie" "PL77" "24.06" 5
"534" "Malopolskie" "PL77" "25.06" 11
"535" "Malopolskie" "PL77" "26.06" 17
"536" "Malopolskie" "PL77" "27.06" 10
"537" "Malopolskie" "PL77" "28.06" 18
"538" "Malopolskie" "PL77" "29.06" 16
"539" "Malopolskie" "PL77" "30.06" 44
"540" "Malopolskie" "PL77" "01.07" 18
"541" "Malopolskie" "PL77" "02.07" 29
"542" "Malopolskie" "PL77" "03.07" 13
"543" "Malopolskie" "PL77" "04.07" 29
"544" "Malopolskie" "PL77" "05.07" 17
"545" "Malopolskie" "PL77" "06.07" 12
"546" "Malopolskie" "PL77" "07.07" 21
"547" "Malopolskie" "PL77" "08.07" 28
"548" "Malopolskie" "PL77" "09.07" 35
"549" "Malopolskie" "PL77" "10.07" 19
"550" "Malopolskie" "PL77" "11.07" 53
"551" "Malopolskie" "PL77" "12.07" 29
"552" "Malopolskie" "PL77" "13.07" 38
"553" "Malopolskie" "PL77" "14.07" 44
"554" "Malopolskie" "PL77" "15.07" 43
"555" "Malopolskie" "PL77" "16.07" 60
"556" "Malopolskie" "PL77" "17.07" 70
"557" "Malopolskie" "PL77" "18.07" 76
"558" "Malopolskie" "PL77" "19.07" 115
"559" "Malopolskie" "PL77" "20.07" 40
"560" "Malopolskie" "PL77" "21.07" 62
"561" "Malopolskie" "PL77" "22.07" 50
"562" "Malopolskie" "PL77" "23.07" 75
"563" "Malopolskie" "PL77" "24.07" 99
"564" "Malopolskie" "PL77" "25.07" 142
"565" "Malopolskie" "PL77" "26.07" 109
"566" "Malopolskie" "PL77" "27.07" 61
"567" "Malopolskie" "PL77" "28.07" 91
"568" "Malopolskie" "PL77" "29.07" 102
"569" "Malopolskie" "PL77" "30.07" 133
"570" "Malopolskie" "PL77" "31.07" 77
"571" "Malopolskie" "PL77" "01.08" 157
"572" "Malopolskie" "PL77" "02.08" 76
"573" "Malopolskie" "PL77" "03.08" 78
"574" "Malopolskie" "PL77" "04.08" 88
"575" "Malopolskie" "PL77" "05.08" 90
"576" "Malopolskie" "PL77" "06.08" 118
"577" "Malopolskie" "PL77" "07.08" 144
"578" "Malopolskie" "PL77" "08.08" 124
"579" "Malopolskie" "PL77" "09.08" 108
"580" "Malopolskie" "PL77" "10.08" 175
